"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Senior Crown Prosecutor (Lon)","50519","62590","Senior Crown Prosecutor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Senior Crown Prosecutor (Lon)","50519","62590","Specialist Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Senior Crown Prosecutor (Nat)","48077","55610","Senior Crown Prosecutor","5.93","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Senior Specialist Prosecutor L","69680","79410","Senior Specialist Prosecutor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Senior Specialist Prosecutor N","66930","77290","Senior Specialist Prosecutor","2.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Senior Specialist Prosecutor N","66930","77290","Specialist Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Specialist Prosecutor (Lon)","61360","71300","Senior Specialist Prosecutor","1.00","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Specialist Prosecutor (Lon)","61360","71300","Specialist Prosecutor","15.81","Law"
"Crown Prosecution Service","Crown Prosecution Service","SPECIAL FRAUD DIVISION","CPS-G-024","Specialist Prosecutor (Nat)","56890","66990","Specialist Prosecutor","26.64","Law"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level A2 (Lon)","20120","23520","Administrative Assistant","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level A2 (Nat)","18736","21950","Administrative Assistant","1.60","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level A2 Apprentice (Nat)","16767","18900","Administrative Assistant","3.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level B1 (Nat)","25480","28430","Procurement Manager","3.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level B2 (Lon)","31560","35020","Procurement Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level B2 (Nat)","30130","33310","Procurement Manager","4.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level B3 (Lon)","39750","45530","Senior Manager","2.40","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level B3 (Lon)","39750","45530","Senior Procurement Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level B3 (Nat)","38180","43390","Senior Manager","4.62","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level B3 (Nat)","38180","43390","Senior Procurement Manager","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level D Admin (Lon)","54760","65050","Head of Procurement and Commercial Services","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level D Admin (Lon)","54760","65050","Senior Manager - Service Delivery","0.65","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level D Admin (Nat)","50850","59670","Head of Procurement and Commercial Services","2.68","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","HQ ESTATES AND COMMERCIAL","CPS-S-025","Level E Admin (Nat)","67000","77290","Head of Procurement and Commercial Services","1.00","Operational Delivery"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level A1 (Lon)","20180","20180","Administrative Assistant","1.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B1 (Lon)","26970","30110","Communications Officer","2.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Lon)","31560","35020","Communications Officer","4.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Lon)","31560","35020","Press Officer","3.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Lon)","31560","35020","Web Manager","1.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B2 (Nat)","30130","33310","Communications Officer","1.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B3 (Lon)","39750","45530","Communications Manager","4.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level B3 (Lon)","39750","45530","Senior Press Officer","4.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Lon)","54760","65050","Business Manager","1.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Lon)","54760","65050","Chief Press Officer","3.00","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Lon)","54760","65050","Communications Manager","1.81","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level D Admin (Nat)","50850","59670","Communications Manager","0.81","Communications"
"Crown Prosecution Service","Crown Prosecution Service","COMMUNICATIONS","CPS-S-020","Level E Admin (Lon)","69680","79410","Head of Unit","1.89","Communications"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Associate Prosecutor (Nat)","30930","34480","Solutions Developer","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level A2 (Nat)","18736","21950","Administrative Assistant","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level A2 Apprentice (Lon)","20120","23520","Administrative Assistant","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Lon)","26970","30110","Business Support Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Lon)","26970","30110","Delivery Officer","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Lon)","26970","30110","Finance Support Officer","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Lon)","26970","30110","Practitioner","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Lon)","26970","30110","Service Desk Analyst","0.88","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Nat)","25480","28430","Customer Engagement Manager","1.81","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Nat)","25480","28430","Delivery Officer","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Nat)","25480","28430","Practitioner","7.34","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Nat)","25480","28430","Project Support Officer","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 (Nat)","25480","28430","Service Desk Analyst","7.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B1 Apprentice (Lon)","26970","30110","Administrative Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Lon)","31560","35020","Senior Analyst","3.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Lon)","31560","35020","Senior Practitioner","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Lon)","31560","35020","Solutions Developer","2.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Lon)","31560","35020","Web Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Nat)","30130","33310","Delivery Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Nat)","30130","33310","Finance Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Nat)","30130","33310","Project Manager","5.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Nat)","30130","33310","Senior Analyst","2.61","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Nat)","30130","33310","Senior Practitioner","5.60","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Nat)","30130","33310","Service Desk Analyst","2.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B2 (Nat)","30130","33310","Solutions Developer","4.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Lon)","39750","45530","Finance Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Lon)","39750","45530","Project Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Lon)","39750","45530","Senior IT Analyst","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Lon)","39750","45530","Senior Project Manager","2.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Lon)","39750","45530","Senior Resources Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Lon)","39750","45530","Senior Solutions Developer","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Change Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Communications Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Projects Delivery Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Senior Business Analyst","3.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Senior IT Analyst","2.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Senior Procurement Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Senior Project Manager","6.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Senior Solutions Developer","3.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Service Desk Analyst","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level B3 (Nat)","38180","43390","Solutions Manager","2.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Admin (Lon)","54760","65050","Area Business Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Admin (Lon)","54760","65050","Deputy Head of Division","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Admin (Lon)","54760","65050","Head of Division","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Admin (Lon)","54760","65050","Head of Unit","1.67","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Admin (Nat)","50850","59670","Head of Division","2.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Admin (Nat)","50850","59670","Head of Unit","5.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Admin (Nat)","50850","59670","Senior Project Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Legal (Nat)","50850","59670","Head of Unit","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level D Legal (Nat)","50850","59670","Senior Project Manager","1.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ DTS","CPS-S-025","Level E Admin (Nat)","67000","77290","Head of Division","4.00","Information Technology"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level A1 (Lon)","20180","20180","Messenger","3.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level A2 (Nat)","18736","21950","Administrative Officer","10.62","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level A2 (Nat)","18736","21950","Finance Support Officer","3.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level A2 (Nat)","18736","21950","Payroll Administrator","11.01","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level A2 Apprentice (Nat)","16767","18900","Administrative Officer","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level A2 Apprentice (Nat)","16767","18900","Payroll Administrator","2.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Lon)","26970","30110","Assistant Financial Analyst","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Lon)","26970","30110","Finance Officer","0.57","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Lon)","26970","30110","Messenger","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Lon)","26970","30110","Senior Personal Assistant","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Nat)","25480","28430","Business Centre Support Officer","3.61","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Nat)","25480","28430","Business Line Expert","4.31","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Nat)","25480","28430","Finance Officer","3.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Nat)","25480","28430","Payroll Team Leader","7.42","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B1 (Nat)","25480","28430","Systems Tester","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Lon)","31560","35020","Accounts Officer","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Lon)","31560","35020","Business Support Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Lon)","31560","35020","Financial Analyst","2.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Lon)","31560","35020","Project Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Nat)","30130","33310","Facilities, Estates and Security Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Nat)","30130","33310","Finance Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Nat)","30130","33310","Financial Analyst","0.81","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Nat)","30130","33310","Operational Manager","0.41","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Nat)","30130","33310","Operations Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Nat)","30130","33310","Senior Payroll Manager","2.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B2 (Nat)","30130","33310","Systems Tester","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Lon)","39750","45530","Business Partner","3.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Lon)","39750","45530","Facilities Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Lon)","39750","45530","Not In Post","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Lon)","39750","45530","Risk and Assurance Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Lon)","39750","45530","Senior Finance Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Nat)","38180","43390","Business Partner","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Nat)","38180","43390","Facilities, Estates and Security Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Nat)","38180","43390","Financial Analyst","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Nat)","38180","43390","Project Manager","2.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level B3 (Nat)","38180","43390","Senior Finance Manager","2.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Lon)","54760","65050","Change Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Lon)","54760","65050","Head of Business Services","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Lon)","54760","65050","Head of Financial Management","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Lon)","54760","65050","Head of Unit","0.40","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Lon)","54760","65050","Senior Business Manager","0.91","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Nat)","50850","59670","Head of Division","2.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Nat)","50850","59670","Head of Financial Management","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level D Admin (Nat)","50850","59670","Senior Finance Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level E Admin (Lon)","69680","79410","Head of Financial Management","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level E Admin (Nat)","67000","77290","Finance Manager","1.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ FINANCE","CPS-S-013","Level E Admin (Nat)","67000","77290","Head of Division","2.00","Finance"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Crown Advocate ABP (Nat)","60810","64510","Crown Advocate","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level A2 (Lon)","20120","23520","Administrative Officer","2.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level A2 (Nat)","18736","21950","Administrative Officer","5.60","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level A2 Apprentice (Nat)","16767","18900","Administrative Officer","7.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B1 (Lon)","26970","30110","HR Officer","4.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B1 (Lon)","26970","30110","Senior Personal Assistant","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B1 (Nat)","25480","28430","Administrative Officer","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B1 (Nat)","25480","28430","Business Support Officer","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B1 (Nat)","25480","28430","HR Officer","18.61","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B2 (Lon)","31560","35020","HR Advisor","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B2 (Lon)","31560","35020","HR Manager","2.70","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B2 (Nat)","30130","33310","HR Advisor","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B2 (Nat)","30130","33310","HR Advisory Manager","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B2 (Nat)","30130","33310","HR Manager","21.38","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B3 (Lon)","39750","45530","HR Business Partner","4.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B3 (Lon)","39750","45530","Lead Practitioner Manager Expert","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B3 (Lon)","39750","45530","Senior HR Business Partner","0.59","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B3 (Lon)","39750","45530","Senior HR Manager","4.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B3 (Nat)","38180","43390","HR Business Partner","4.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B3 (Nat)","38180","43390","Lead Practitioner Manager Expert","1.89","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level B3 (Nat)","38180","43390","Senior HR Manager","9.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Lon)","54760","65050","Head of Leadership and Development","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Lon)","54760","65050","Head of Pay and Reward","0.67","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Lon)","54760","65050","Head of Unit","0.73","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Lon)","54760","65050","HR Business Partner","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Lon)","54760","65050","Senior HR Business Partner","6.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Lon)","54760","65050","Senior HR Manager","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Lon)","54760","65050","Senior Operational Business Manager","0.60","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Head of Employee Relations and Policy","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Head of Inclusion and Wellbeing","3.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Head of Leadership and Development","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Head of Learning and Development Strategy","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Head of Resourcing & Workforce Planning","1.92","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Head of Senior Staffing Unit","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Head of SSU, Talent and Professions","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Lead Practitioner Manager Expert","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Senior HR Business Partner","6.73","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Admin (Nat)","50850","59670","Senior HR Consultant","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level D Legal (Nat)","50850","59670","Principal Legal Advisor","0.81","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level E Admin (Lon)","69680","79410","Business Manager","1.00","Human Resources"
"Crown Prosecution Service","Crown Prosecution Service","HQ HR DIRECTORATE","CPS-S-028","Level E Admin (Lon)","69680","79410","Head of Division","3.86","Human Resources"
